type,project_cost,number_of_workers,project_result
finance,300000000,74,Fail
manufacturing,1000000000,246,Fail
finance,54000000,219,Success
finance,3000000,209,Success
finance,580000,81,Success
finance,300000000,83,Fail
finance,700000000,106,Fail
finance,30500000,219,Fail
finance,100000000,187,Fail
finance,100000000,144,Fail
finance,200000000,158,Fail
finance,130000000,148,Success
finance,50000000,97,Fail
finance,200000,194,Fail
finance,30000000,113,Success
finance,100000000,184,Success
finance,20000000,111,Fail
finance,490000000,116,Fail
finance,12000000,126,Success
finance,127000000,79,Fail
finance,190000000,211,Fail
finance,102490000,63,Fail
finance,500000000,99,Success
finance,100000000,115,Success
finance,421000000,179,Fail
finance,60000000,104,Success
finance,100000000,106,Fail
finance,250000000,77,Fail
finance,26700000,177,Success
finance,50000000,178,Fail
finance,41500000,167,Success
finance,23000000,200,Success
finance,150000000,94,Success
finance,6138300000,70,Fail
finance,30000000,218,Fail
finance,50000000,206,Fail
finance,4200000,200,Fail
finance,3500000,146,Fail
finance,195000000,62,Success
finance,250000000,191,Fail
finance,59000000,201,Success
finance,150000000,63,Fail
finance,150000000,69,Fail
finance,777000000,199,Fail
finance,570000,79,Success
finance,100000000,89,Fail
finance,92000000,50,Success
finance,70000000,145,Fail
finance,3150000,114,Fail
finance,200000000,56,Fail
finance,440000000,168,Fail
finance,1200000000,219,Fail
finance,100000000,222,Fail
finance,143000000,190,Success
finance,3500000,245,Success
finance,18000000,211,Fail
finance,150000000,63,Fail
finance,40000000,197,Fail
finance,250000000,154,Fail
finance,100000000,116,Fail
finance,760000000,150,Fail
finance,250000000,169,Fail
finance,40000000,118,Fail
finance,23000000,208,Success
finance,13000000,120,Fail
finance,250000000,172,Fail
finance,200000000,141,Fail
finance,150000000,227,Success
finance,200000000,68,Fail
finance,41000000,122,Fail
finance,150000000,195,Fail
finance,123000000,184,Success
finance,30000000,171,Fail
finance,300000000,233,Fail
finance,100000000,55,Success
finance,250000000,243,Fail
finance,25000000,218,Success
manufacturing,50000000,187,Fail
finance,25430000,124,Success
finance,150000000,184,Fail
finance,29000000,120,Success
finance,873600000,77,Success
finance,23800000,121,Success
finance,460000,95,Success
finance,415000000,56,Fail
finance,210000000,149,Success
finance,9300000,235,Fail
finance,9000000,103,Success
finance,150000000,60,Fail
finance,60000000,239,Success
finance,354540000,114,Success
manufacturing,350000000,77,Fail
manufacturing,200000000,116,Fail
finance,400000000,187,Fail
finance,50000000,90,Fail
finance,300000000,187,Success
finance,376000000,203,Fail
finance,500000000,79,Fail
finance,30000000,216,Fail
finance,200000000,50,Fail
finance,120400000,75,Success
finance,2750000,152,Fail
manufacturing,400000000,229,Fail
manufacturing,100000000,133,Fail
finance,32000000,217,Success
finance,41000000,127,Success
finance,400000,189,Success
finance,120000000,63,Success
finance,44600000,181,Success
finance,10700000,69,Success
finance,102000000,110,Success
manufacturing,15000000,50,Fail
manufacturing,25000000,58,Fail
finance,280000000,176,Fail
finance,2200000,225,Success
finance,300000000,118,Success
finance,50000000,69,Fail
finance,1000000,185,Success
finance,50000000,158,Fail
manufacturing,450000000,157,Fail
finance,45000000,238,Success
finance,156310000,167,Success
finance,300000000,54,Fail
finance,315000000,125,Success
finance,29670000,233,Success
manufacturing,125000000,116,Fail
finance,225000000,212,Fail
finance,200000000,138,Success
finance,200000000,113,Fail
finance,20000000,173,Success
finance,59900000,196,Success
finance,4000000,79,Success
finance,100000000,51,Success
finance,100000000,153,Success
manufacturing,200000000,188,Fail
finance,60600000,175,Success
finance,180000000,59,Success
finance,8000000,223,Success
finance,60000000,224,Success
manufacturing,150000000,183,Success
finance,250000000,158,Fail
finance,300000000,157,Fail
finance,19500000,158,Success
finance,50000000,53,Fail
finance,18000000,183,Success
finance,150000000,162,Fail
finance,121100000,235,Fail
finance,129060000,70,Success
finance,100000000,156,Fail
finance,10000000,194,Success
finance,112000000,135,Success
finance,100000000,56,Fail
finance,25000000,152,Success
finance,30000000,205,Fail
finance,2340000,89,Fail
finance,3900000,147,Fail
finance,998000000,154,Success
finance,270000000,78,Fail
finance,150000000,99,Fail
finance,206000000,163,Success
finance,92000000,117,Success
finance,7000000,67,Success
finance,200000000,104,Fail
finance,150000000,100,Fail
finance,18100000,227,Success
finance,300000000,236,Fail
finance,35000000,229,Success
finance,40000000,147,Fail
finance,180000000,160,Success
finance,400000000,235,Success
finance,10000000,91,Fail
finance,375000000,92,Fail
finance,350000000,181,Success
finance,26500000,172,Success
finance,187500000,176,Success
finance,264700000,212,Fail
finance,250000000,175,Fail
finance,70000000,158,Fail
finance,100000000,89,Success
finance,60000000,200,Success
manufacturing,20000000,235,Fail
finance,8000000,61,Success
finance,230000000,71,Fail
finance,100000000,231,Fail
finance,129000000,115,Success
finance,400000000,230,Fail
finance,58000000,209,Success
finance,43000000,107,Success
finance,70000000,80,Fail
finance,25500000,229,Success
finance,100000000,164,Success
finance,250000000,153,Fail
finance,61300000,198,Success
finance,100000000,231,Success
finance,90000000,229,Success
finance,20000000,106,Fail
finance,250000000,240,Fail
finance,40000000,155,Fail
finance,70000000,102,Fail
manufacturing,250000000,140,Success
finance,83000000,107,Success
finance,750000000,205,Success
finance,5000000,63,Success
finance,497000000,129,Fail
finance,90000000,91,Fail
finance,115290000,66,Fail
finance,30000000,69,Fail
finance,150000000,73,Fail
finance,150000000,94,Fail
finance,1853500000,151,Fail
finance,306000000,232,Success
finance,20000000,163,Success
finance,75000000,177,Fail
finance,40000000,243,Fail
finance,180300000,250,Success
finance,52000000,128,Success
manufacturing,500000000,107,Fail
finance,10230000,186,Success
finance,300000000,161,Success
finance,1950000,51,Success
finance,80000000,250,Fail
finance,150000000,207,Fail
finance,10000000,172,Success
finance,68000000,128,Success
finance,150000000,140,Fail
finance,900000,69,Success
finance,140000000,156,Fail
finance,23900000,164,Success
finance,120000000,192,Fail
finance,341000000,225,Success
finance,254930000,86,Fail
finance,50000000,90,Fail
finance,250000000,59,Fail
finance,100000000,247,Fail
finance,33500000,147,Fail
finance,79000000,214,Fail
finance,150000000,163,Fail
finance,120000000,189,Success
finance,300000000,219,Fail
finance,204000000,176,Fail
finance,10000000,180,Success
finance,50000000,198,Success
finance,400000000,169,Success
finance,300000000,216,Fail
finance,150000000,193,Fail
finance,200000000,199,Fail
finance,150000000,181,Fail
finance,50000000,140,Success
finance,1000000,134,Success
finance,300000000,152,Fail
finance,150000000,181,Fail
finance,150000000,168,Success
finance,291000000,85,Fail
finance,150000000,227,Fail
finance,100000000,57,Success
finance,41100000,220,Success
finance,120000000,249,Fail
finance,150000000,53,Fail
finance,300000000,69,Success
finance,3000000,133,Success
finance,160000000,157,Fail
finance,450000000,73,Success
finance,70000000,150,Success
finance,125000000,238,Fail
finance,37500000,231,Success
finance,45500000,131,Success
manufacturing,55000000,146,Success
finance,35000000,226,Success
finance,45000000,167,Success
finance,65000000,105,Fail
finance,70300000,224,Success
finance,252000000,155,Success
manufacturing,500000000,96,Success
finance,800000000,74,Success
finance,178600000,93,Fail
finance,50000000,61,Fail
finance,110000000,59,Fail
manufacturing,750000000,77,Success
finance,65000000,103,Fail
finance,70000000,175,Success
finance,52000000,50,Success
finance,51480000,53,Fail
finance,100000000,166,Fail
finance,65000000,86,Fail
finance,110000000,190,Success
finance,7000000,226,Success
finance,50000000,178,Fail
finance,306000000,111,Success
finance,63750000,126,Success
finance,100000000,92,Success
finance,20010000,87,Success
finance,100900000,233,Success
finance,200000000,140,Success
manufacturing,150000000,53,Fail
finance,290000000,185,Success
finance,100000000,217,Fail
finance,40000000,227,Success
finance,2110000,130,Success
finance,3000000,161,Success
finance,250000000,236,Fail
finance,30000000,95,Success
finance,15000000,76,Fail
finance,200000000,83,Fail
finance,150000000,111,Fail
manufacturing,300000000,243,Success
finance,34000000,181,Success
finance,275000000,149,Success
finance,50000000,142,Success
finance,5000000,208,Success
finance,217000000,50,Success
finance,70000000,124,Success
finance,537000000,85,Fail
finance,300000000,214,Fail
finance,5000000,229,Success
finance,302800000,109,Fail
finance,14360000,238,Success
finance,28200000,189,Success
finance,183500000,63,Success
finance,230000000,233,Fail
finance,2650000,121,Success
finance,589000000,104,Fail
finance,4730000,164,Fail
finance,9130000,55,Fail
finance,138000000,60,Success
finance,150000000,78,Fail
finance,100000000,101,Fail
finance,41500000,70,Fail
finance,2130000,213,Fail
finance,1400000000,239,Success
finance,20500000,103,Fail
finance,6000000,146,Fail
finance,12000000,188,Fail
finance,10000000,131,Success
finance,603800000,170,Fail
finance,150000000,231,Success
finance,217000000,218,Fail
finance,7800000,97,Success
finance,160000000,93,Success
finance,4570000,145,Fail
finance,4360000,177,Success
finance,12750000,250,Success
finance,285000000,95,Success
finance,150000000,228,Success
finance,5000000,138,Success
finance,30000000,207,Success
finance,3100000,244,Fail
finance,100000000,175,Success
finance,450000,60,Success
finance,15000000,224,Success
finance,432500000,164,Success
manufacturing,100000000,214,Success
finance,200000000,145,Success
finance,63930000,111,Success
finance,410000,192,Fail
finance,12000000,190,Success
finance,20000000,60,Success
finance,200000000,105,Success
finance,250000000,244,Fail
finance,86500000,200,Success
finance,40000000,159,Success
finance,50000000,78,Success
finance,20000000,240,Fail
finance,150000000,109,Success
finance,350000,227,Success
finance,8500000,64,Success
finance,72000000,241,Fail
manufacturing,35000000,223,Success
finance,202000000,187,Success
finance,39540000,224,Success
finance,130000000,165,Success
finance,3750000,126,Success
finance,30000000,163,Success
finance,24000000,164,Success
finance,61000000,230,Success
finance,38200000,113,Success
finance,20000000,142,Fail
finance,1433000000,193,Success
finance,75000000,159,Success
finance,110000000,230,Success
finance,250000000,52,Success
finance,3850800000,102,Success
finance,318000000,215,Success
finance,230000000,223,Success
finance,52500000,238,Success
finance,29200000,203,Success
finance,50000000,174,Success
finance,8000000,168,Success
finance,29500000,241,Success
finance,300000000,54,Fail
finance,36000000,159,Success
finance,25500000,55,Success
finance,45000000,183,Success
finance,774000000,66,Fail
finance,2200000,248,Success
finance,5000000,171,Success
finance,30000000,80,Success
finance,20000000,167,Success
finance,7850000,146,Fail
finance,100000000,70,Success
finance,25000000,178,Fail
finance,200000000,114,Success
finance,155000000,181,Success
finance,12200000,186,Fail
finance,9420000,213,Success
finance,310000000,129,Fail
finance,100000000,195,Fail
finance,620000000,98,Fail
finance,100000000,222,Success
finance,420000000,136,Success
finance,6500000,241,Success
manufacturing,52500000,223,Fail
finance,6580000,81,Success
finance,127000000,89,Success
finance,200000000,111,Success
finance,8000000,129,Success
finance,200000000,52,Fail
finance,3000000,139,Success
finance,500000,158,Success
finance,41000000,66,Fail
finance,25000000,143,Success
finance,50000000,217,Fail
finance,134000000,186,Success
finance,68500000,228,Success
finance,148000000,111,Success
finance,114500000,174,Success
finance,10000000,195,Success
manufacturing,250000000,64,Success
finance,100000000,92,Success
finance,5990000,105,Success
finance,3000000,218,Fail
finance,100000000,229,Fail
finance,115000000,159,Success
finance,8000000,101,Success
manufacturing,500000000,60,Fail
finance,252000000,136,Success
finance,207000000,51,Success
finance,300000000,202,Success
finance,21000000,189,Success
finance,250000000,65,Fail
finance,172400000,242,Success
finance,26000000,58,Success
finance,5000000,131,Success
finance,12000000,213,Success
finance,150000000,134,Success
finance,410000,149,Success
finance,50000000,154,Success
finance,100000000,80,Success
finance,52500000,129,Success
finance,13000000,208,Success
finance,300000000,71,Success
finance,25750000,161,Success
finance,182250000,59,Success
finance,940000,149,Success
finance,7080000,179,Fail
finance,185000000,90,Fail
finance,10000000,216,Success
finance,5000000,206,Success
finance,1213500000,200,Success
finance,4132310000,94,Success
finance,2000000,100,Success
finance,2000000,119,Success
finance,15000000,187,Success
finance,385500000,229,Success
finance,100000000,123,Success
finance,257000000,97,Success
finance,2760000,207,Fail
manufacturing,40000000,222,Success
finance,241000000,156,Fail
finance,5000000,51,Fail
finance,15000000,52,Success
finance,2300000,58,Success
finance,940000,80,Success
finance,115000000,159,Fail
finance,9000000,58,Success
finance,10000000,247,Success
finance,350000000,131,Success
finance,160000000,247,Success
finance,9000000,96,Success
finance,515000000,63,Fail
manufacturing,75000000,226,Success
finance,150000000,100,Success
finance,45000000,196,Success
finance,250000000,158,Success
manufacturing,75000000,101,Success
finance,100000000,129,Success
finance,343000000,222,Success
manufacturing,180000000,120,Fail
finance,297500000,212,Success
finance,150000000,245,Fail
finance,100000000,169,Success
finance,59000000,133,Success
manufacturing,250000000,166,Success
finance,940000,233,Success
manufacturing,750000000,153,Success
manufacturing,100000000,165,Fail
finance,700000000,145,Success
finance,300000000,205,Fail
finance,300000000,113,Fail
finance,56430000,87,Success
manufacturing,50000000,151,Fail
finance,33000000,143,Success
finance,445000000,101,Fail
manufacturing,1375000000,133,Success
finance,681100000,154,Success
finance,85000000,176,Success
finance,50000000,105,Success
finance,25000000,90,Success
manufacturing,80000000,172,Fail
finance,7100000,86,Success
finance,300000000,237,Success
finance,450000000,112,Success
finance,10000000,113,Fail
finance,152800000,240,Success
finance,250000000,97,Success
finance,6850000,94,Success
manufacturing,275000000,117,Fail
finance,134900000,65,Success
finance,10000000,183,Success
manufacturing,100000000,75,Success
finance,40000000,111,Fail
finance,150000000,134,Success
finance,5000000,187,Success
finance,940000,84,Success
finance,4850000,157,Success
finance,130000000,130,Success
finance,385000000,202,Success
finance,6000000,228,Success
finance,44000000,97,Fail
finance,130000000,162,Success
finance,408500000,214,Success
finance,250000000,196,Success
finance,5580000,50,Success
finance,26200000,168,Success
finance,53440000,208,Success
finance,75000000,53,Success
finance,357500000,194,Fail
finance,125000000,196,Success
manufacturing,30000000,121,Success
finance,30000000,208,Fail
finance,23500000,50,Success
finance,150000000,110,Success
finance,940000,170,Success
finance,1760000,173,Success
finance,400000000,206,Success
finance,150000000,157,Success
finance,750000000,203,Fail
finance,35000000,74,Success
finance,15000000,60,Success
finance,75000000,53,Fail
finance,113150000,125,Fail
finance,15000000,212,Success
finance,16000000,119,Success
finance,53700000,224,Success
finance,8000000,161,Success
finance,395000000,181,Success
finance,650000000,178,Fail
finance,220000000,72,Success
finance,11000000,83,Success
finance,3390000,93,Success
finance,175000000,209,Fail
manufacturing,40000000,247,Success
finance,12500000,184,Fail
finance,10000000,91,Success
finance,400000000,154,Success
manufacturing,75000000,126,Success
finance,178240000,141,Success
manufacturing,35000000,239,Fail
manufacturing,70000000,66,Success
finance,3790000,122,Success
finance,20000000,89,Success
finance,21990000,190,Success
finance,2700000,204,Success
finance,15000000,141,Success
finance,210470000,180,Success
manufacturing,100000000,209,Success
finance,90000000,51,Success
finance,940000,112,Success
finance,73500000,229,Success
manufacturing,15000000,63,Fail
manufacturing,12000000,211,Success
finance,15000000,183,Success
finance,70000000,165,Success
manufacturing,10000000,163,Success
finance,480000000,184,Success
manufacturing,750000000,150,Success
finance,5000000,106,Fail
manufacturing,500000000,139,Fail
finance,5000000,52,Success
finance,1160000000,68,Fail
finance,15000000,128,Success
finance,6800000,155,Success
finance,14850000,80,Success
manufacturing,150000000,224,Fail
manufacturing,15000000,99,Success
finance,6850000,120,Success
finance,25000000,186,Success
manufacturing,35000000,58,Fail
finance,50000000,143,Success
finance,600000000,163,Fail
finance,20000000,51,Fail
finance,25000000,189,Success
finance,6850000,142,Success
finance,15000000,233,Success
manufacturing,100000000,120,Fail
manufacturing,70000000,79,Success
finance,7000000,86,Success
manufacturing,100000000,165,Success
finance,3360000,67,Success
finance,750000000,178,Success
manufacturing,300000000,56,Success
finance,29000000,129,Success
finance,13760000,237,Success
finance,40000000,193,Success
finance,40000000,182,Success
manufacturing,55000000,55,Success
manufacturing,80000000,198,Success
finance,10800000,80,Success
finance,5000000,86,Success
finance,9720000,167,Success
manufacturing,150000000,250,Fail
finance,1965000000,93,Success
finance,15200000,220,Success
finance,3460000,211,Success
finance,317500000,143,Success
finance,14700000,151,Success
finance,10900000,231,Success
manufacturing,200000000,195,Fail
finance,1000000,88,Success
finance,39010000,233,Success
manufacturing,50000000,168,Success
manufacturing,400000000,202,Fail
manufacturing,450000000,166,Success
finance,150000000,117,Success
finance,50000000,225,Success
manufacturing,750000000,65,Fail
finance,114280000,197,Success
finance,374170000,243,Success
finance,20000000,144,Success
finance,20000000,177,Success
finance,20000000,128,Success
finance,35000000,158,Success
finance,7500000,61,Success
finance,3100000000,132,Fail
manufacturing,350000000,117,Fail
finance,9000000,182,Success
manufacturing,100000000,175,Success
finance,469000000,88,Success
manufacturing,300000000,244,Success
manufacturing,25000000,199,Success
finance,16950000,206,Success
finance,11000000,214,Success
manufacturing,100000000,67,Success
finance,8100000,161,Success
finance,26900000,219,Success
finance,21150000,197,Success
finance,5000000,172,Success
finance,14250000,226,Success
finance,11310000,101,Success
finance,13950000,209,Success
finance,5000000,69,Success
finance,10400000,169,Success
finance,20000000,163,Success
finance,5200000,130,Success
finance,7500000,135,Success
finance,352500000,140,Success
finance,47200000,211,Success
finance,50000000,135,Success
finance,2000000,241,Fail
finance,25800000,168,Success
finance,35000000,183,Success
finance,7500000,229,Success
finance,5000000,199,Success
finance,7000000,169,Success
finance,7500000,90,Success
finance,5000000,67,Success
finance,10000000,109,Success
finance,35000000,166,Success
finance,2500000,72,Success
finance,66940000,151,Success
finance,82600000,97,Success
finance,200000000,248,Success
finance,68000000,250,Success
finance,400000000,76,Success
finance,160000000,63,Success
manufacturing,175000000,239,Success
finance,44600000,229,Success
finance,6730000,176,Success
finance,167500000,248,Success
finance,1450000,87,Success
finance,203900000,189,Success
finance,250000000,109,Fail
finance,125000000,92,Success
manufacturing,200000000,127,Success
finance,400000000,205,Success
finance,150000000,72,Success
finance,939000000,222,Success
finance,5000000,54,Fail
finance,2750000,66,Success
finance,64200000,228,Success
finance,200000000,230,Success
finance,60000000,50,Success
finance,250000000,213,Fail
finance,200000000,67,Success
finance,246000000,228,Success
finance,6900000,62,Success
finance,110000000,88,Success
finance,30000000,59,Success
finance,7160000,168,Success
manufacturing,175000000,80,Success
finance,137500000,194,Success
finance,123800000,98,Success
finance,350000000,176,Fail
finance,35000000,111,Success
finance,44800000,170,Success
finance,9300000,153,Success
finance,365000000,135,Fail
finance,54600000,224,Success
finance,100000000,122,Success
finance,56000000,170,Success
finance,460200000,169,Success
finance,96000000,170,Success
finance,555200000,76,Success
finance,43000000,206,Success
finance,32100000,218,Success
manufacturing,20000000,237,Success
finance,8800000,78,Success
finance,49600000,96,Success
finance,63000000,97,Success
finance,40000000,141,Success
manufacturing,250000000,68,Success
finance,500000,154,Fail
finance,176000000,114,Success
finance,30850000,241,Success
finance,222000000,62,Success
finance,150000000,162,Success
finance,520000000,80,Success
finance,47890000,102,Success
finance,251400000,177,Success
finance,14800000,200,Success
finance,185000000,211,Success
finance,130000000,245,Success
finance,120000000,153,Success
finance,4000000,75,Fail
finance,145000000,137,Fail
finance,30000000,57,Success
finance,927000000,232,Success
finance,50000000,249,Fail
finance,2438900000,51,Success
finance,90000000,156,Success
finance,1743000000,109,Success
finance,97450000,246,Success
finance,492100000,113,Success
finance,2730000,100,Success
finance,200000000,54,Fail
finance,30000000,143,Success
finance,11580000,200,Success
finance,400000000,79,Success
finance,150000000,119,Success
finance,28620000,64,Success
finance,8860000,165,Fail
finance,401000000,129,Success
manufacturing,100000000,64,Success
finance,524000000,75,Success
finance,150000000,75,Success
manufacturing,300000000,187,Success
finance,5610000,79,Success
finance,60100000,112,Success
finance,23560000,124,Success
finance,299000000,93,Success
finance,4500000,182,Success
finance,100000000,239,Success
finance,9000000,238,Success
finance,288000000,62,Success
finance,13700000,222,Success
finance,15000000,85,Success
finance,200000000,126,Success
finance,10000000,226,Success
finance,150000000,197,Fail
finance,106500000,225,Success
finance,40000000,230,Success
finance,2283760000,93,Success
finance,13000000,161,Success
finance,43000000,51,Success
finance,2837000000,149,Success
finance,200000000,152,Success
finance,80000000,178,Success
manufacturing,40000000,116,Fail
finance,490000,128,Success
finance,12760000,122,Success
finance,750000,86,Success
finance,150000000,128,Success
finance,4212000000,141,Success
manufacturing,1000000000,205,Success
finance,6530900000,192,Fail
finance,81000000,83,Success
finance,500000,228,Success
finance,2000000,236,Success
finance,4600000,74,Success
finance,30000000,110,Success
finance,60000000,69,Success
finance,440000,151,Success
finance,64000000,211,Fail
finance,47250000,131,Success
finance,50000000,102,Fail
finance,100000000,184,Success
manufacturing,100000000,136,Success
finance,40000000,217,Success
finance,40000000,80,Success
finance,425000000,167,Success
finance,6500000,169,Success
finance,3000000,109,Fail
finance,103360000,173,Success
finance,80000000,228,Success
finance,15000000,79,Success
finance,376000000,200,Success
finance,445000000,199,Success
finance,100000000,143,Fail
finance,175200000,164,Success
finance,17000000,135,Success
finance,125000000,122,Success
finance,250000000,200,Success
finance,6000000,107,Success
finance,500000000,80,Success
finance,7610000,70,Success
finance,100000000,76,Success
finance,250000000,243,Fail
finance,4450000,228,Success
finance,31700000,178,Success
finance,18000000,68,Success
finance,500000000,121,Fail
finance,125000000,50,Success
finance,295380000,54,Success
finance,54450000,135,Success
finance,218000000,77,Success
manufacturing,500000000,222,Success
manufacturing,30000000,122,Success
manufacturing,420000000,110,Success
manufacturing,150000000,156,Success
manufacturing,135000000,115,Fail
finance,302000000,74,Success
manufacturing,100000000,229,Fail
finance,245000000,80,Fail
finance,100000000,247,Success
finance,5000000,143,Success
manufacturing,300000000,58,Fail
finance,8800000,219,Success
finance,10000000,108,Success
finance,45000000,50,Success
finance,65000000,189,Success
finance,150800000,145,Success
finance,3250000,142,Success
manufacturing,360000000,69,Success
finance,200000000,245,Success
finance,2200000000,52,Fail
finance,545000000,150,Fail
manufacturing,30000000,208,Success
manufacturing,280000000,91,Fail
manufacturing,300000000,75,Success
finance,278000000,199,Success
finance,100000000,229,Success
finance,25000000,204,Success
finance,50000000,197,Success
finance,500000000,90,Success
finance,72000000,182,Success
finance,830000000,118,Fail
finance,72000000,185,Success
finance,20000000,93,Success
finance,132000000,157,Success
finance,1750000,51,Success
manufacturing,25000000,172,Success
finance,52700000,105,Success
finance,100000000,122,Success
finance,210000000,196,Success
finance,200000000,234,Success
finance,35000000,104,Success
finance,405000000,97,Fail
finance,1552700000,207,Success
finance,350000000,55,Fail
manufacturing,147950000,78,Success
finance,63000000,219,Success
finance,112000000,104,Success
finance,115000000,74,Success
finance,16000000,181,Fail
finance,5000000,227,Success
finance,9070000,71,Success
finance,200000000,174,Fail
finance,1000000,50,Success
finance,875000000,138,Success
finance,2650000,196,Success
finance,2400000,83,Success
finance,12500000,54,Success
finance,200000000,237,Success
finance,500000000,137,Success
finance,30000000,84,Success
finance,315000000,61,Fail
finance,24500000,105,Success
finance,125000000,117,Success
finance,200000000,250,Success
finance,120000000,53,Success
finance,4451000000,119,Fail
finance,150000000,235,Success
finance,125000000,69,Success
finance,500000000,163,Success
finance,1030000,226,Success
finance,178200000,179,Success
finance,101300000,92,Success
finance,225000000,123,Fail
finance,60000000,66,Success
finance,10487000000,91,Success
finance,1426000000,214,Success
finance,1675700000,234,Success
finance,36400000,57,Success
manufacturing,180000000,52,Success
finance,45000000,176,Success
finance,82500000,209,Success
finance,26400000,55,Success
finance,200000000,208,Success
finance,51500000,189,Success
finance,110000000,78,Fail
finance,8990000,152,Success
finance,400000,148,Success
finance,200000000,108,Fail
finance,2500000,197,Success
manufacturing,500000000,115,Success
finance,177000000,137,Success
finance,76690000,114,Fail
finance,45000000,128,Success
finance,11000000,68,Success
finance,550000000,67,Success
finance,293000000,79,Success
finance,100000000,77,Success
finance,375190000,144,Fail
finance,22700000,60,Success
finance,2980000,130,Success
manufacturing,150000000,141,Success
manufacturing,350000000,70,Success
manufacturing,200000000,153,Success
finance,320000000,117,Success
finance,120000000,227,Success
finance,150000000,185,Fail
finance,250000000,243,Success
finance,200000000,132,Fail
finance,3500000,107,Success
finance,40000000,120,Success
finance,84000000,246,Success
finance,4500000,249,Success
finance,273000000,168,Success
finance,142000000,119,Success
finance,171000000,179,Success
manufacturing,100000000,212,Success
finance,100000000,58,Success
finance,27350000,71,Success
finance,99800000,186,Success
finance,1740000,207,Success
finance,260000000,207,Success
finance,143000000,190,Success
finance,80000000,91,Success
finance,100000000,165,Fail
finance,890000000,98,Success
finance,37480000,191,Success
finance,71000000,248,Success
finance,450000000,200,Success
finance,60000000,201,Success
finance,40000000,210,Success
finance,150000000,108,Success
finance,379000000,98,Success
finance,110000000,241,Success
finance,17200000,183,Success
finance,183000000,143,Success
finance,12000000,62,Success
finance,883310000,172,Success
finance,1750000,174,Fail
finance,62500000,78,Success
manufacturing,250000000,187,Success
manufacturing,500000000,74,Success
finance,2700000,175,Success
finance,330200000,97,Success
finance,800000,215,Success
manufacturing,125000000,99,Success
finance,30000000,229,Success
finance,520000000,236,Success
finance,5940000,139,Success
finance,622000000,147,Success
manufacturing,30000000,124,Fail
finance,250000000,135,Fail
finance,9700000,63,Success
finance,60000000,118,Success
finance,105400000,208,Success
finance,6000000,199,Success
finance,50000000,105,Fail
finance,10000000,185,Success
finance,60000000,202,Success
finance,45700000,157,Fail
finance,140000000,135,Success
finance,70000000,162,Success
finance,217400000,203,Success
finance,502000000,199,Success
finance,117000000,82,Success
finance,10200000,131,Success
finance,250000000,122,Success
manufacturing,100000000,67,Success
finance,75000000,109,Fail
manufacturing,100000000,152,Success
finance,350000,68,Success
manufacturing,1000000000,116,Success
finance,65000000,64,Success
finance,56730000,237,Success
manufacturing,100000000,63,Success
manufacturing,700000000,226,Success
finance,500000000,130,Success
manufacturing,275000000,107,Success
finance,86000000,227,Success
finance,12600000,141,Success
manufacturing,1200000000,84,Success
finance,21000000,74,Success
finance,200000000,66,Success
finance,15000000,176,Success
finance,430000000,54,Fail
